#development stage,vegetative stage,,,,,,,
#age,21 (day),,,,,,,
#genotype,Col-0,,,,,,,
#organism part,whole organism,,,,,,,
#compound,,,t-zeatin,t-zeatin,none,none,t-zeatin,none
Gene ID,Gene Name,DesignElementAccession,NO.20-2,NO.19-2,NO.11,NO.10,NO.21-2,NO.12
AT1G02850,BGLU11,262118_at,9.101318692,9.124377232,8.635714,8.773003213,9.164015462,8.668688337
AT1G02860,BAH1,262114_at,7.692998298,7.902263807,8.480717084,8.3634252,7.665487261,8.56160364
AT1G02870,,262112_at,10.20581324,10.23758824,8.964863031,9.056432489,10.16749184,9.110851417
AT1G02890,,262130_at,8.106042587,8.030197814,7.951403566,8.06283645,8.224895526,7.867655133
AT1G02900,RALF1,262131_at,8.930673359,8.9890827,8.677923275,8.69082222,8.690589033,8.771791475
AT1G02910,LPA1,262104_at,8.119866595,8.269319471,8.51291913,8.503676461,8.145128158,8.530734104
AT1G02940,ATGSTF5,262103_at,4.588362921,4.207411424,4.263650993,4.576496257,4.336404167,4.383870793
AT1G02950,ATGSTF4,262120_at,5.849796385,5.865675046,6.099834739,6.071394814,5.826664415,6.212456801
AT1G02960,,262111_at,7.130560169,7.516083003,7.584209613,7.408925125,7.290549665,7.588699245
AT1G02970,WEE1,262106_at,6.390797009,6.414858542,6.348903499,6.251642482,6.437535228,6.185390137
AT1G02980,CUL2,262102_at,4.542199686,4.577748008,4.607091737,4.772129705,4.631412103,4.547144669
AT1G03000,PEX6,263170_at,8.448254327,8.603339969,8.398855294,8.527717126,8.573373398,8.352153023
AT1G03010,,263169_at,4.642632102,4.679414515,4.546000125,4.522739834,4.630988718,4.409318281
AT1G03020,GRXS1,263168_at,6.142183196,5.97203004,6.214305677,6.149058271,5.931490823,6.356794115
AT1G03030,,263167_at,8.023909597,8.146498666,8.23430333,8.25369903,7.958471514,8.309596251
AT1G03040,,263117_at,8.261663168,8.364510286,8.522624555,8.447478598,8.459523402,8.614119079
AT1G03050,,263166_at,4.754509191,4.731624938,4.72515984,4.666559224,4.65648095,4.631456069
AT1G03055,D27,263115_at,6.874790854,6.821176082,7.285970513,7.270608405,6.736106169,7.032755923
AT1G03060,SPI,263165_at,7.013038111,7.108056716,6.924570112,7.25250326,7.642892786,6.877881592
AT1G03070,,263164_at,7.617799275,7.638904642,7.995777729,8.134400322,7.654396079,7.745034351
AT1G03080,NET1D,263112_at,5.901774604,5.902759655,5.722419544,5.619632268,6.123678519,5.89368961
AT1G03090,MCCA,263118_at,8.492528997,8.388267726,9.2980891,9.176034846,8.535793185,9.266675489
AT1G03100,,263143_at,4.733655414,4.816986272,4.467543952,4.521385238,4.629301594,4.41938805
AT1G03110,TRM82,263119_at,8.630627195,8.597310845,6.840969924,7.005144398,8.657288033,7.044793572
AT1G03130,PSAD2,263114_at,11.66125777,11.50751999,12.15903824,12.07655795,11.57601549,12.12011897
AT1G03150,NAA20,263113_at,8.457568529,8.495221634,8.18585069,8.216391504,8.492268719,8.223275373
AT1G03160,FZL,263163_at,6.878132445,7.085835545,7.078791322,7.27068844,7.113617912,7.170169028
