#age,6 (day),,,,,,,
#development stage,seedling,,,,,,,
#ecotype,Col-0,,,,,,,
#compound,,,1 micromolar indole-3-acetic acid,1 micromolar indole-3-acetic acid,none,1 micromolar indole-3-acetic acid,none,none
Gene ID,Gene Name,DesignElementAccession,Hybridization6,Hybridization4,Hybridization2,Hybridization5,Hybridization3,Hybridization1
AT1G03770,RING1B,265086_at,6.0037587,6.073997007,6.203935525,5.994121611,5.838074597,5.763203357
AT1G03780,TPX2,265085_at,5.771687951,5.91305168,5.6839078,5.654643537,5.560701997,5.846664535
AT1G03790,SOM,265084_at,7.213002437,7.332507292,6.242927525,7.244774943,6.438034377,6.305095155
AT1G03820,,265083_at,6.840159389,6.785307121,5.513382466,7.02738543,5.35347957,5.410052416
AT1G03830,,265082_at,6.056871639,6.133222631,6.225022793,6.419818179,6.3186557,6.406487968
AT1G03840,MGP,265081_at,5.8222998,5.882455011,5.78700394,5.586014901,5.760755334,6.002346267
AT1G03850,,265067_at,9.548433438,9.50625283,10.28953822,9.324817644,10.34303872,10.41069811
AT1G03860,PHB2,265037_at,10.48535033,10.44945611,10.66881045,10.58107498,10.56676631,10.75923637
AT1G03870,FLA9,265066_at,11.75710239,11.29888605,11.89492464,11.55908033,11.84138571,11.95798451
AT1G03880,CRB,265095_at,4.119737307,4.250647844,4.195429305,4.3017662,4.284809168,4.315584199
AT1G03890,CRD,265094_at,4.942342105,4.997855259,4.836237323,4.848620066,4.98686673,4.73006968
AT1G03900,ATNAP4,265043_at,11.42482307,11.43968022,11.37439542,11.4148366,11.26795216,11.41834675
AT1G03905,ABCI19,265093_at,6.015759612,6.05634171,6.501111447,6.337733769,6.605898629,6.406946369
AT1G03910,CTN,265092_at,10.01991426,10.10391941,10.14315909,10.05093951,10.10757139,10.12252488
AT1G03920,,265038_at,6.28017713,6.041373693,6.06665334,6.107392347,5.654914145,5.826207215
AT1G03950,VPS2.3,265044_at,7.920431389,7.933785585,8.099896077,7.930956792,8.070725728,7.84831394
AT1G03960,B''EPSILON,265090_at,6.527254044,6.548758503,6.536460868,6.491019785,6.62097096,6.638290565
AT1G03970,GBF4,265040_at,8.041396971,7.897285363,8.042835103,7.906506249,8.026788489,7.751745457
AT1G03980,ATPCS2,265065_at,5.179570914,5.021076064,4.946759264,4.882609728,5.560425323,5.388732089
AT1G03990,FAO1,265099_at,5.341410368,5.48690255,5.276343142,5.347786344,5.334573799,5.535334979
AT1G04000,,265039_at,7.916958387,8.181676402,8.104510651,8.28833854,7.833903624,8.207299536
AT1G04010,PSAT,265098_at,7.00323148,7.157076943,7.046118145,7.114183949,7.29433259,7.304504141
